,_RAJ2000,_DEJ2000,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,id
0,146.47265,-0.26822,IC0560    ,1.1,0.587,0.479,G,0.77,0.607,0.691,0.589,F,F,Simbad,NED,LEDA,146.47265,-0.26822,0
1,153.20242,43.14555,IC0598    ,1.39,0.579,0.502,G,0.896,0.629,0.736,0.592,F,F,Simbad,NED,LEDA,153.20242,43.14555,1
2,168.16591,9.05574,IC0676    ,0.68,0.524,0.664,G,0.508,0.436,0.495,0.442,F,F,Simbad,NED,LEDA,168.16591,9.05574,2
3,175.07704,9.00986,IC0719    ,1.06,0.714,0.642,R,0.279,0.117,0.263,0.092,F,S,Simbad,NED,LEDA,175.07704,9.00986,3
4,185.40405,5.76567,IC0782    ,0.76,0.404,0.263,G,0.677,0.608,0.571,0.529,F,F,Simbad,NED,LEDA,185.40405,5.76567,4
5,217.86342,3.00911,IC1024    ,1.18,0.679,0.752,G,0.916,0.647,0.724,0.599,F,F,Simbad,NED,LEDA,217.86342,3.00911,5
6,189.9502,12.97393,IC3631    ,1.11,0.56,0.524,G,0.218,0.173,0.25,0.196,F,F,Simbad,NED,LEDA,189.9502,12.97393,6
7,18.81888,-1.62611,NGC0448   ,1.22,0.643,0.656,G,0.38,0.377,0.327,0.291,F,F,Simbad,NED,LEDA,18.81887,-1.62611,7
8,20.02825,3.41544,NGC0474   ,0.52,0.192,0.191,G,0.229,0.227,0.213,0.21,F,F,Simbad,NED,LEDA,20.02825,3.41544,8
9,20.73196,9.04903,NGC0502   ,1.44,0.146,0.047,G,0.213,0.168,0.234,0.172,F,F,Simbad,NED,LEDA,20.73196,9.04903,9
10,20.85032,9.43347,NGC0509   ,0.56,0.679,0.661,G,0.451,0.43,0.465,0.444,F,F,Simbad,NED,LEDA,20.85032,9.43347,10
11,21.03361,9.55167,NGC0516   ,0.95,0.699,0.701,G,0.786,0.624,0.655,0.579,F,F,Simbad,NED,LEDA,21.03361,9.55167,11
12,21.19878,9.53879,NGC0524   ,0.5,0.034,0.034,G,0.344,0.344,0.325,0.325,F,F,Simbad,NED,LEDA,21.19878,9.53879,12
13,21.22044,9.70324,NGC0525   ,1.41,0.28,0.173,G,0.404,0.285,0.418,0.274,F,F,Simbad,NED,LEDA,21.22044,9.70324,13
14,27.44703,21.97083,NGC0680   ,1.19,0.189,0.185,G,0.413,0.361,0.406,0.36,F,F,Simbad,NED,LEDA,27.44703,21.97083,15
15,29.80685,18.95469,NGC0770   ,2.01,0.276,0.299,G,0.184,0.117,0.195,0.114,F,S,Simbad,NED,LEDA,29.80685,18.95469,16
16,32.08812,10.99487,NGC0821   ,0.49,0.392,0.392,G,0.288,0.288,0.273,0.273,F,F,Simbad,NED,LEDA,32.08812,10.99487,17
17,36.90609,-1.15628,NGC0936   ,1.0,0.223,0.223,C,0.677,0.448,0.657,0.43,F,F,Simbad,NED,LEDA,36.90609,-1.15628,18
18,40.09958,39.06286,NGC1023   ,0.47,0.363,0.363,G,0.372,0.372,0.391,0.391,F,F,Simbad,NED,LEDA,40.09958,39.06286,19
19,42.66339,-1.73404,NGC1121   ,2.14,0.559,0.45,G,0.828,0.587,0.711,0.548,F,F,Simbad,NED,LEDA,42.66339,-1.73404,20
20,48.20233,-5.22467,NGC1248   ,1.1,0.227,0.138,G,0.521,0.337,0.535,0.353,F,F,Simbad,NED,LEDA,48.20233,-5.22467,22
21,49.00317,-2.42734,NGC1266   ,0.88,0.193,0.207,G,0.775,0.589,0.638,0.517,F,F,Simbad,NED,LEDA,49.00317,-2.42734,23
22,72.0711,-5.42766,NGC1665   ,0.65,0.491,0.44,G,0.669,0.478,0.658,0.511,F,F,Simbad,NED,LEDA,72.0711,-5.42766,25
23,119.30718,23.76769,NGC2481   ,1.26,0.684,0.467,G,0.686,0.399,0.678,0.428,F,F,Simbad,NED,LEDA,119.30718,23.76769,26
24,124.74311,57.80311,NGC2549   ,0.88,0.587,0.488,G,0.623,0.563,0.572,0.523,F,F,Simbad,NED,LEDA,124.74311,57.80311,27
25,125.68114,22.55304,NGC2577   ,1.13,0.471,0.421,G,0.874,0.733,0.696,0.623,F,F,Simbad,NED,LEDA,125.68114,22.55304,28
26,126.78367,25.97034,NGC2592   ,1.39,0.208,0.21,G,0.529,0.422,0.549,0.431,F,F,Simbad,NED,LEDA,126.78367,25.97034,29
27,126.82161,25.87894,NGC2594   ,2.92,0.403,0.433,G,0.455,0.45,0.404,0.444,F,F,Simbad,NED,LEDA,126.82161,25.87894,30
28,132.88719,30.86542,NGC2679   ,0.46,0.368,0.368,G,0.185,0.185,0.193,0.193,F,F,Simbad,NED,LEDA,132.88719,30.86542,31
29,133.89479,58.73441,NGC2685   ,0.9,0.612,0.592,G,0.84,0.734,0.691,0.632,F,F,Simbad,NED,LEDA,133.89479,58.73441,32
30,133.61278,-3.0671,NGC2695   ,1.04,0.293,0.225,G,0.582,0.422,0.575,0.406,F,F,Simbad,NED,LEDA,133.61278,-3.0671,33
31,133.90222,-3.18388,NGC2698   ,1.27,0.516,0.267,S,0.569,0.331,0.593,0.345,F,F,Simbad,NED,LEDA,133.90222,-3.18388,34
32,133.95342,-3.12751,NGC2699   ,1.39,0.143,0.202,G,0.45,0.393,0.444,0.398,F,F,Simbad,NED,LEDA,133.95342,-3.12751,35
33,137.07298,21.44345,NGC2764   ,1.25,0.614,0.662,G,0.783,0.568,0.658,0.535,F,F,Simbad,NED,LEDA,137.07298,21.44345,36
34,137.90627,60.03721,NGC2768   ,0.35,0.472,0.472,G,0.236,0.236,0.253,0.253,F,F,Simbad,NED,LEDA,137.90627,60.03721,37
35,138.10164,35.02742,NGC2778   ,1.05,0.224,0.201,G,0.574,0.419,0.572,0.435,F,F,Simbad,NED,LEDA,138.10164,35.02742,38
36,139.75927,26.27,NGC2824   ,2.49,0.162,0.107,G,0.534,0.407,0.492,0.37,F,F,Simbad,NED,LEDA,139.75927,26.27,39
37,140.81068,40.16388,NGC2852   ,2.6,0.135,0.043,G,0.32,0.186,0.368,0.201,F,F,Simbad,NED,LEDA,140.81068,40.16388,40
38,141.07729,34.51338,NGC2859   ,0.6,0.089,0.057,G,0.41,0.408,0.359,0.361,F,F,Simbad,NED,LEDA,141.07729,34.51338,41
39,142.39424,62.49062,NGC2880   ,0.81,0.282,0.208,G,0.627,0.508,0.581,0.482,F,F,Simbad,NED,LEDA,142.39424,62.49062,42
40,145.64632,58.85122,NGC2950   ,1.11,0.362,0.237,G,0.488,0.472,0.436,0.428,F,F,Simbad,NED,LEDA,145.64632,58.85122,43
41,145.22461,5.16582,NGC2962   ,0.64,0.484,0.319,G,0.376,0.298,0.43,0.329,F,F,Simbad,NED,LEDA,145.22461,5.16582,44
42,145.63861,-3.69912,NGC2974   ,0.53,0.407,0.403,R,0.813,0.811,0.663,0.664,F,F,Simbad,NED,LEDA,145.63861,-3.69912,45
43,148.03412,29.23628,NGC3032   ,1.32,0.102,0.176,G,0.267,0.173,0.344,0.201,F,F,Simbad,NED,LEDA,148.03412,29.23628,46
44,150.21684,55.61894,NGC3073   ,1.24,0.124,0.162,G,0.136,0.092,0.145,0.086,F,S,Simbad,NED,LEDA,150.21684,55.61894,47
45,150.56946,24.71109,NGC3098   ,1.2,0.553,0.44,S,0.744,0.446,0.635,0.422,F,F,Simbad,NED,LEDA,150.56946,24.71109,48
46,153.17169,3.12932,NGC3156   ,0.96,0.478,0.469,G,0.771,0.611,0.648,0.559,F,F,Simbad,NED,LEDA,153.17169,3.12932,49
47,154.88756,58.20582,NGC3182   ,0.79,0.166,0.195,G,0.372,0.405,0.306,0.369,F,F,Simbad,NED,LEDA,154.88756,58.20582,50
48,154.60368,21.89398,NGC3193   ,0.57,0.129,0.143,G,0.208,0.208,0.195,0.197,F,F,Simbad,NED,LEDA,154.60368,21.89398,51
49,155.86255,19.89844,NGC3226   ,0.53,0.168,0.159,G,0.273,0.275,0.251,0.257,F,F,Simbad,NED,LEDA,155.86255,19.89844,52
50,155.93309,12.56788,NGC3230   ,0.81,0.55,0.36,G,0.617,0.393,0.609,0.403,F,F,Simbad,NED,LEDA,155.93309,12.56788,53
51,156.82653,28.50744,NGC3245   ,0.62,0.442,0.444,G,0.624,0.579,0.626,0.592,F,F,Simbad,NED,LEDA,156.82652,28.50744,54
52,156.93927,22.84717,NGC3248   ,1.09,0.374,0.29,G,0.514,0.38,0.511,0.35,F,F,Simbad,NED,LEDA,156.93927,22.84717,55
