,_RAJ2000,_DEJ2000,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,id
0,26.06097,28.70599,NGC0661   ,1.33,0.306,0.307,G,0.134,0.094,0.139,0.07,S,S,Simbad,NED,LEDA,26.06097,28.70599,14
1,47.23645,-2.95521,NGC1222   ,1.12,0.28,0.28,C,0.153,0.138,0.147,0.132,S,S,Simbad,NED,LEDA,47.23645,-2.95521,21
2,49.70759,-1.97335,NGC1289   ,0.9,0.393,0.38,G,0.172,0.154,0.178,0.154,S,S,Simbad,NED,LEDA,49.70759,-1.97335,24
3,162.81767,27.97497,NGC3414   ,0.67,0.194,0.193,G,0.106,0.107,0.073,0.07,S,S,Simbad,NED,LEDA,162.81767,27.97497,62
4,166.66855,20.08562,NGC3522   ,1.75,0.361,0.262,S,0.08,0.091,0.058,0.074,S,S,Simbad,NED,LEDA,166.66855,20.08562,67
5,169.2457,18.14853,NGC3608   ,0.49,0.19,0.19,G,0.054,0.054,0.043,0.043,S,S,Simbad,NED,LEDA,169.2457,18.14853,73
6,175.12977,60.29896,NGC3796   ,1.53,0.361,0.398,G,0.164,0.111,0.171,0.119,S,S,Simbad,NED,LEDA,175.12977,60.29896,87
7,183.07181,13.20535,NGC4168   ,0.46,0.129,0.129,G,0.047,0.047,0.04,0.04,S,S,Simbad,NED,LEDA,183.07181,13.20535,99
8,183.45992,7.20084,NGC4191   ,1.54,0.269,0.092,G,0.105,0.073,0.107,0.059,S,S,Simbad,NED,LEDA,183.45992,7.20084,101
9,184.84673,5.82492,NGC4261   ,0.44,0.222,0.222,G,0.09,0.09,0.085,0.085,S,S,Simbad,NED,LEDA,184.84673,5.82492,109
10,186.11762,7.31752,NGC4365   ,0.33,0.254,0.254,G,0.114,0.114,0.088,0.088,S,S,Simbad,NED,LEDA,186.11762,7.31752,124
11,186.2656,12.88698,NGC4374   ,0.44,0.147,0.147,G,0.026,0.026,0.024,0.024,S,S,Simbad,NED,LEDA,186.2656,12.88698,126
12,186.54922,12.94597,NGC4406   ,0.24,0.211,0.211,G,0.09,0.09,0.052,0.052,S,S,Simbad,NED,LEDA,186.54922,12.94597,131
13,187.23972,13.24192,NGC4458   ,0.68,0.121,0.119,G,0.15,0.161,0.072,0.079,S,S,Simbad,NED,LEDA,187.23972,13.24192,139
14,187.44499,8.00041,NGC4472   ,0.26,0.172,0.172,G,0.073,0.073,0.077,0.077,S,S,Simbad,NED,LEDA,187.44499,8.00041,142
15,187.49617,12.34867,NGC4476   ,1.07,0.353,0.375,G,0.236,0.298,0.153,0.266,S,F,Simbad,NED,LEDA,187.49617,12.34867,145
16,187.70593,12.39112,NGC4486   ,0.28,0.037,0.037,G,0.024,0.024,0.021,0.021,S,S,Simbad,NED,LEDA,187.70593,12.39112,149
17,188.52527,11.32127,NGC4528   ,1.15,0.392,0.129,G,0.112,0.116,0.096,0.102,S,F,Simbad,NED,LEDA,188.52527,11.32127,156
18,188.87755,12.22096,NGC4550   ,0.88,0.649,0.633,G,0.122,0.072,0.105,0.061,S,S,Simbad,NED,LEDA,188.87755,12.22096,158
19,188.91618,12.55604,NGC4552   ,0.46,0.047,0.047,G,0.051,0.051,0.049,0.049,S,S,Simbad,NED,LEDA,188.91618,12.55604,160
20,190.70778,2.68778,NGC4636   ,0.25,0.094,0.094,G,0.039,0.039,0.036,0.036,S,S,Simbad,NED,LEDA,190.70778,2.68778,170
21,191.98132,-1.65597,NGC4690   ,0.96,0.266,0.257,G,0.149,0.13,0.151,0.123,S,S,Simbad,NED,LEDA,191.98132,-1.65597,176
22,202.54755,46.67083,NGC5198   ,0.62,0.146,0.151,G,0.074,0.072,0.061,0.057,S,S,Simbad,NED,LEDA,202.54755,46.67083,187
23,207.31334,60.19041,NGC5322   ,0.56,0.307,0.304,G,0.126,0.121,0.073,0.067,S,S,Simbad,NED,LEDA,207.31334,60.19041,190
24,211.67172,50.72332,NGC5481   ,0.79,0.214,0.161,G,0.159,0.165,0.103,0.091,S,S,Simbad,NED,LEDA,211.67172,50.72332,199
25,214.60712,36.49369,NGC5557   ,0.6,0.169,0.157,G,0.048,0.044,0.049,0.045,S,S,Simbad,NED,LEDA,214.60712,36.49369,204
26,215.26538,3.27105,NGC5576   ,0.76,0.306,0.31,G,0.097,0.088,0.102,0.091,S,S,Simbad,NED,LEDA,215.26538,3.27105,206
27,216.63869,56.58266,NGC5631   ,0.81,0.127,0.167,G,0.171,0.193,0.11,0.166,S,F,Simbad,NED,LEDA,216.63869,56.58266,209
28,225.29694,1.70197,NGC5813   ,0.38,0.17,0.17,G,0.161,0.161,0.071,0.071,S,S,Simbad,NED,LEDA,225.29694,1.70197,213
29,226.02927,1.21992,NGC5831   ,0.81,0.136,0.203,G,0.088,0.093,0.063,0.065,S,S,Simbad,NED,LEDA,226.02927,1.21992,214
30,226.62189,1.60564,NGC5846   ,0.38,0.062,0.062,R,0.037,0.037,0.032,0.032,S,S,Simbad,NED,LEDA,226.62189,1.60564,218
31,281.82852,45.55065,NGC6703   ,0.68,0.019,0.017,G,0.043,0.038,0.041,0.035,S,F,Simbad,NED,LEDA,281.82852,45.55065,230
32,345.27713,16.38837,NGC7454   ,0.65,0.364,0.363,R,0.106,0.091,0.094,0.067,S,S,Simbad,NED,LEDA,345.27713,16.38837,234
33,149.93129,11.66081,PGC028887 ,1.49,0.323,0.312,G,0.282,0.332,0.145,0.252,S,F,Simbad,NED,LEDA,149.93129,11.66081,240
34,211.91355,54.79458,PGC050395 ,1.58,0.233,0.24,G,0.149,0.111,0.138,0.089,S,S,Simbad,NED,LEDA,211.91355,54.79457,245
35,115.09485,23.27509,UGC03960  ,0.93,0.19,0.081,G,0.13,0.109,0.119,0.094,S,F,Simbad,NED,LEDA,115.09485,23.27509,253
